1530881308675,00092,03362
1530881308715,00054,01319
1530881308765,00134,05989
1530881308815,00066,01507
1530881308859,00075,02062
1530881308895,00071,01979
1530881308946,00070,01797
1530881308985,00071,01789
1530881309036,00083,02831
1530881309075,00063,01518
1530881309126,00120,04789
1530881309165,00075,01952
1530881309215,00067,01871
1530881309255,00047,00887
1530881309315,00056,01288
1530881309365,00096,03247
1530881309405,00048,00898
1530881309445,00055,01174
1530881309485,00070,01951
1530881309525,00084,02398
1530881309566,00071,01932
1530881309606,00062,01556
1530881309636,00066,01522
1530881309675,00072,01947
1530881309715,00121,05180
1530881309745,00068,01738
1530881309786,00055,01135
1530881309838,00051,01035
1530881309876,00074,02114
1530881309915,00078,01988
1530881309965,00090,03137
1530881310015,00070,01973
1530881310066,00045,00913
1530881310106,00089,02957
1530881310146,00056,01138
1530881310185,00098,03682
1530881310225,00106,03674
1530881310276,00052,01038
1530881310326,00052,01052
1530881310386,00081,02448
1530881310436,00079,02435
1530881310476,00091,03634
1530881310515,00085,02705
1530881310566,00075,02034
1530881310595,00127,06800
1530881310645,00131,06982
1530881310706,00124,05983
1530881310756,00097,03840
1530881310805,00127,06241
1530881310845,00122,05934
1530881310886,00122,05741
1530881310936,00088,02879
1530881310976,00091,03388
1530881311016,00082,02658
1530881311046,00092,03024
1530881311085,00107,04466
1530881311125,00073,02079
1530881311175,00098,03530
1530881311206,00086,02784
1530881311256,00077,02316
1530881311285,00138,07070
1530881311335,00093,03553
1530881311375,00109,04491
1530881311415,00109,04288
1530881311455,00129,06280
1530881311495,00102,04296
1530881311525,00102,03913
1530881311565,00103,04382
1530881311595,00075,01917
1530881311635,00080,02379
1530881311665,00093,03281
1530881311705,00083,02759
1530881311745,00073,02007
1530881311775,00080,02624
1530881311816,00057,01196
1530881311845,00056,01208
1530881311895,00072,01837
1530881311935,00101,03875
1530881311987,00061,01478
1530881312046,00188,14263
1530881312085,00173,11112
1530881312125,00180,12307
1530881312155,00202,14999
1530881312205,00119,05243
1530881312245,00151,08944
1530881312278,00144,08822
1530881312316,00105,04527
1530881312356,00116,05233
1530881312397,00084,02766
1530881312445,00059,01355
1530881312485,00108,04344
