0.91,1.08,0.23,0.44,1.72,0.70,0.85,0.35,1.23,0.18,0.09,0.22,0.06,0.02,1.12
2.27,1.18,2.87,2.30,1.98,1.28,0.84,1.45,2.49,2.16,1.30,1.33,0.62,1.38,0.69
3.41,2.55,4.35,2.09,2.98,4.66,5.16,2.77,4.15,2.13,3.15,3.04,3.12,2.97,0.48
1.75,2.76,3.11,2.65,3.24,4.03,6.17,2.49,3.22,4.51,1.93,1.40,3.66,3.84,0.25
2.30,0.27,1.38,1.24,2.18,1.54,2.44,0.91,1.05,4.42,0.58,2.00,1.41,3.84,0.60
0.82,1.60,1.41,1.15,1.99,0.78,0.60,1.14,0.14,3.39,1.57,2.78,1.01,2.36,2.73
1.14,0.85,0.49,1.18,1.93,0.80,1.08,0.42,0.18,1.64,1.31,1.37,0.85,0.97,1.65
1.90,2.30,2.04,0.70,2.64,1.95,2.00,0.90,0.44,3.16,2.26,0.86,1.87,2.04,2.26
2.88,2.56,1.90,1.38,1.51,2.48,1.44,1.81,0.51,3.42,2.29,0.54,1.84,1.39,2.47
1.82,1.12,0.63,0.46,0.55,2.16,0.39,1.63,1.28,1.59,1.17,0.90,0.78,1.00,0.88
1.50,1.58,0.91,1.14,1.47,1.97,1.11,0.50,0.23,0.44,1.08,1.62,0.66,1.38,1.31
0.95,1.22,1.86,0.31,0.97,1.79,0.89,0.93,1.18,0.67,0.47,1.00,0.60,1.10,0.94
2.74,1.57,3.45,3.53,3.49,3.78,2.27,3.21,3.18,2.16,1.85,1.90,2.77,3.60,1.35
2.88,2.17,2.56,4.17,3.47,3.72,2.34,3.57,2.87,2.43,2.28,2.76,2.69,3.83,1.88
1.79,0.58,0.71,2.02,0.76,0.52,0.68,1.92,0.80,0.51,1.94,2.07,1.55,0.86,0.99
2.71,1.15,0.57,1.66,1.28,1.29,0.43,1.42,1.62,2.36,2.42,2.49,2.84,2.76,2.46
4.25,2.36,2.49,2.57,3.09,3.02,1.73,3.12,2.98,3.63,1.67,1.19,2.31,3.48,2.57
9.99,10.28,9.63,8.63,9.34,9.30,8.42,9.48,8.69,9.84,9.35,7.45,6.30,8.73,8.44
9.65,10.87,9.24,8.96,9.16,9.59,8.91,10.18,8.58,10.74,10.75,8.63,8.17,8.98,8.76
1.71,3.31,2.88,1.17,1.39,4.52,2.56,2.28,0.42,4.60,4.81,0.26,2.82,4.97,3.73
2.03,2.06,2.72,1.87,2.86,4.10,3.84,3.38,2.47,3.38,5.70,4.14,5.51,6.79,4.46
1.11,0.28,1.02,2.27,3.31,1.17,2.08,2.11,2.34,1.61,4.29,3.36,3.23,2.70,3.08
7.97,8.64,7.60,8.81,7.82,7.60,8.18,8.43,8.63,8.09,8.53,10.52,6.72,6.98,8.41
8.40,9.27,8.40,8.66,8.18,7.73,8.84,10.09,10.04,10.15,11.89,11.27,8.47,7.95,9.02
6.35,4.77,7.96,7.84,6.01,9.30,9.15,9.08,4.30,7.55,11.40,7.61,6.84,6.63,10.54
14.62,13.27,13.76,14.03,14.86,17.84,16.91,17.61,15.73,16.63,17.83,15.33,18.75,18.38,18.41
10.49,4.52,4.80,9.71,11.19,8.04,7.68,12.85,11.17,8.26,9.80,10.77,12.18,7.94,9.53
18.14,18.50,18.68,16.68,19.71,16.41,16.15,16.92,16.28,15.55,16.29,15.50,16.61,17.62,18.83
18.21,19.21,19.31,18.26,20.02,17.72,18.12,18.01,18.80,19.42,20.35,17.05,20.44,21.60,21.87
13.13,9.14,15.21,19.69,14.60,11.44,12.39,16.09,9.43,4.24,15.13,11.89,8.47,6.59,15.36
28.22,28.35,29.35,29.90,30.18,31.44,27.41,27.12,26.44,24.05,24.88,23.48,26.45,25.22,24.26
12.45,12.80,19.97,19.82,14.34,14.09,17.98,19.43,16.41,13.67,16.20,16.27,14.18,13.45,14.33
16.13,14.04,20.21,20.80,17.91,14.69,15.11,14.10,9.49,10.36,13.22,12.74,11.53,10.18,9.90
15.16,14.01,21.07,20.38,19.24,17.35,15.10,15.00,13.92,14.33,13.15,16.98,15.45,14.67,9.84
29.59,25.37,35.76,28.94,25.48,25.66,33.72,31.07,28.01,24.31,36.00,37.46,29.52,24.15,30.71
63.16,60.34,61.17,59.15,60.06,64.52,69.01,68.65,72.58,72.62,80.21,81.29,77.74,75.14,70.98
42.90,36.58,25.64,31.44,34.96,35.13,35.01,40.99,48.36,47.03,49.44,53.07,50.26,45.53,40.14
39.40,30.68,27.56,30.60,27.07,21.39,26.11,27.86,29.48,24.09,16.75,22.57,27.71,30.89,34.90
37.42,33.59,25.58,31.15,34.46,28.63,26.30,31.96,35.95,31.49,20.80,31.13,35.79,43.51,38.57
56.72,53.38,58.44,60.12,41.91,45.78,52.63,48.08,38.14,35.38,42.74,54.90,35.34,39.14,53.75
123.91,126.14,112.79,111.22,113.54,116.88,115.88,108.79,116.34,112.65,111.22,123.09,116.69,116.58,112.40
52.72,63.77,68.43,67.34,53.48,54.16,80.10,72.96,70.05,69.74,83.24,88.10,73.10,71.15,73.17
53.39,55.54,63.89,68.09,64.76,58.58,60.75,52.62,51.34,47.48,56.73,48.79,33.83,34.38,35.94
54.75,61.13,66.38,72.42,73.18,64.12,64.33,62.46,71.07,67.49,62.78,55.15,46.99,48.47,47.69
47.78,45.90,29.76,23.05,45.54,47.68,26.30,22.39,52.09,45.09,20.26,24.07,40.94,29.39,12.23
83.04,67.50,70.59,72.88,76.63,77.85,82.20,86.37,87.57,81.84,80.44,71.89,72.48,68.08,66.67
33.70,35.68,52.86,44.56,37.57,44.56,56.17,58.34,54.27,62.35,60.80,53.00,39.52,44.01,50.10
63.64,65.05,64.06,65.10,55.54,62.76,58.56,49.22,46.18,59.82,66.38,67.00,64.99,61.58,59.79
68.37,68.68,63.58,69.47,67.37,67.68,67.93,63.67,72.51,79.39,86.59,87.29,87.24,80.26,76.66
26.10,17.16,7.77,28.55,37.19,24.94,2.74,26.96,38.94,29.99,24.68,32.81,31.05,18.66,16.32
26.90,30.17,33.15,35.09,44.71,47.44,48.68,44.47,37.83,29.22,26.64,21.88,21.78,30.16,27.92
5.01,11.34,21.27,23.27,18.78,25.91,34.81,25.67,20.32,29.16,26.06,14.86,16.02,19.65,21.38
